file,SYNT_CONST,CONST_ASSIGN,COUNTER,PURE_COUNTER,LINEAR,PURE_LINEAR,BOOL,PURE_BOOLEAN,COMPARED_TO_CONST,MODE,LOOP_IT,LOOP_BOUND,ARRAY_INDEX,OFFSET,ARRAY_SIZE,FILE_DESCR,INPUT,BRANCH_COND,BITVECTOR,CHAR,UNRES_DATA,SCALAR_INT,SCALAR_FLOAT,SCALAR,PTR,PTR_SCALAR,PTR_STRUCT,PTR_STRUCT_PTR,PTR_STRUCT_REC,PTR_COMPL_STRUCT_REC,HEAP_PTR,THREAD_DESCR,USED_IN_ARITHM,EXTERNAL_VAR,RECURSIVE_FUNC,STRUCT_FIELD
/home/vagrant/benchmarks/svcomp15/array-examples/data_structures_set_multi_proc_false-unreach-call_ground.i,0.12,0.2,0.52,0.52,0.52,0.52,0.16,0.16,0,0,0.16,0.12,0.28,0,0,0,0,0.12,0,0,0,0.52,0,0,0.16,0.16,0,0,0,0,0,0,0.28,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/data_structures_set_multi_proc_trivial_true-unreach-call_ground.i,0.12,0.19,0.5,0.5,0.5,0.5,0.15,0.15,0,0,0.15,0.12,0.27,0,0,0,0,0.12,0,0,0,0.5,0,0,0.15,0.15,0,0,0,0,0,0,0.27,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/data_structures_set_multi_proc_true-unreach-call_ground.i,0.12,0.2,0.52,0.52,0.52,0.52,0.16,0.16,0,0,0.16,0.12,0.28,0,0,0,0,0.12,0,0,0,0.52,0,0,0.16,0.16,0,0,0,0,0,0,0.28,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sanfoundry_02_true-unreach-call_ground.i,0.07,0.13,0.47,0.27,0.47,0.27,0.13,0.13,0,0,0.13,0,0.13,0,0,0,0,0.27,0,0,0.2,0.47,0,0,0.07,0.07,0,0,0,0,0,0,0.33,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sanfoundry_10_true-unreach-call_ground.i,0.13,0.33,0.53,0.53,0.53,0.53,0.2,0.2,0,0,0.13,0.2,0.2,0,0,0,0,0.2,0,0,0,0.53,0,0,0.07,0.07,0,0,0,0,0,0,0.27,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sanfoundry_24_true-unreach-call.i,0.27,0.33,0.4,0.4,0.4,0.4,0.13,0.13,0,0,0.07,0.07,0.07,0,0,0,0,0.07,0,0,0,0.4,0,0,0.07,0.07,0,0,0,0,0,0,0.27,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sanfoundry_27_true-unreach-call_ground.i,0.1,0.2,0.5,0.4,0.5,0.4,0.2,0.2,0,0,0.2,0,0.2,0,0,0,0,0.2,0,0,0.1,0.5,0,0,0.1,0.1,0,0,0,0,0,0,0.3,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sanfoundry_43_true-unreach-call_ground.i,0.09,0.18,0.36,0.36,0.36,0.36,0.18,0.18,0,0,0.18,0,0.18,0,0,0,0,0.09,0,0,0,0.36,0,0,0.36,0.36,0,0,0,0,0,0,0.18,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sorting_bubblesort_false-unreach-call2_ground.i,0.08,0.25,0.58,0.5,0.58,0.5,0.33,0.25,0,0,0.25,0,0.25,0,0,0,0,0.08,0,0,0.08,0.58,0,0,0.08,0.08,0,0,0,0,0,0,0.25,0,0,0
/home/vagrant/benchmarks/svcomp15/array-examples/sorting_bubblesort_false-unreach-call_ground.i,0.08,0.25,0.58,0.5,0.58,0.5,0.33,0.25,0,0,0.25,0,0.25,0,0,0,0,0.08,0,0,0.08,0.58,0,0,0.08,0.08,0,0,0,0,0,0,0.25,0,0,0
